[03:07:09.642] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -2.759999		 /		
[03:07:09.748] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.08		 /		
[03:07:09.842] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.4		 /		
[03:07:09.943] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -3.8		 /		
[03:07:10.038] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.12		 /		
[03:07:10.146] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.52		 /		
[03:07:10.234] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -4.76		 /		
[03:07:10.339] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.16		 /		
[03:07:10.440] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.48		 /		
[03:07:10.540] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.88		 /		
[03:07:10.641] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:10.742] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:10.845] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:10.946] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.038] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.143] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.251] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.334] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.436] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.536] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.636] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.737] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.838] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:11.940] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.042] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.148] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.248] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.333] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.445] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.534] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.642] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.743] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.844] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.039999		 /		
[03:07:12.945] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.639999,		 y : -6.28		 /		
[03:07:13.033] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.88		 /		
[03:07:13.139] 플레이어0 ----- x : 1,		 y : -1		 /		플레이어1 ----- x : 4.64,		 y : -5.48		 /		
